===20161219-180641,rop_connectdb_nopwd[372]=== [+][GMS_REDIS]Connect 127.0.0.1:6379 SUCCESS!

===20161219-180641,rop_hash_get[709]=== [-][GMS_REDIS]hget USER_USERID_HASH   error 

===20161219-180641,rop_disconnect[528]=== [+][GMS_REDIS]Disconnect SUCCESS!

===20161219-185949,rop_connectdb_nopwd[372]=== [+][GMS_REDIS]Connect 127.0.0.1:6379 SUCCESS!

===20161219-185949,rop_hash_get[709]=== [-][GMS_REDIS]hget USER_USERID_HASH   error 

===20161219-185949,rop_disconnect[528]=== [+][GMS_REDIS]Disconnect SUCCESS!

===20161219-185950,rop_connectdb_nopwd[372]=== [+][GMS_REDIS]Connect 127.0.0.1:6379 SUCCESS!

===20161219-185950,rop_hash_get[709]=== [-][GMS_REDIS]hget USER_USERID_HASH   error 

===20161219-185950,rop_disconnect[528]=== [+][GMS_REDIS]Disconnect SUCCESS!

===20161219-190007,rop_connectdb_nopwd[372]=== [+][GMS_REDIS]Connect 127.0.0.1:6379 SUCCESS!

===20161219-190007,rop_hash_get[709]=== [-][GMS_REDIS]hget USER_USERID_HASH   error 

===20161219-190007,rop_disconnect[528]=== [+][GMS_REDIS]Disconnect SUCCESS!

